ID	漢字	部首	画数	音読	訓読	級
3243400	瞬	目	18	[シュン]	[[またた,く]]	4
2825800	雌	隹	14	[シ]	[[め],[めす]]	4
2309500	稿	禾	15	[コウ]	[]	4
1915800	剣	刂	10	[ケン]	[[つるぎ]]	4
1502100	狭	犭	9	[キョウ]	[[せま,い],[せば,める],[せば,まる]]	4
1311500	儀	亻	15	[ギ]	[]	4
914100	獲	犭	16	[カク]	[[え,る]]	4
464800	煙	火	13	[エン]	[[けむ,る],[けむり],[けむ,い]]	4
71500	扱	扌	6	[]	[[あつか,う]]	4
3618000	浸	氵	10	[シン]	[[ひた,す],[ひた,る]]	4
3248400	旬	日	6	[ジュン,シュン]	[]	4
2930000	執	土	11	[シツ,シュウ]	[[と,る]]	4
2354400	豪	支豕	14	[ゴウ]	[]	4
1922700	軒	車	10	[ケン]	[[のき]]	4
1505400	恐	心	10	[キョウ]	[[おそ,れる],[おそ,ろしい]]	4
1313000	戯	戈	15	[ギ]	[[たわむ,れる]]	4
1005300	刈	刂	4	[]	[[か,る]]	4
475400	鉛	金	13	[エン]	[[なまり]]	4
130400	依	亻	8	[イ,エ]	[]	4
3644700	寝	宀	13	[シン]	[[ね,る],[ね,かす]]	4
3246000	巡	巛	6	[ジュン]	[[めぐ,る]]	4
2956700	芝	艹	6	[]	[[しば]]	4
2411400	込	辶	5	[]	[[こ,む],[こ,める]]	4
1932600	圏	囗	12	[ケン]	[]	4
1553900	響	音	20	[キョウ]	[[ひび,く]]	4
1343900	詰	訁	13	[キツ]	[[つ,める],[つ,まる],[つ,む]]	4
1017000	甘	甘	5	[カン]	[[あま,い],[あま,える],[あま,やかす]]	4
483000	縁	糸	15	[エン]	[[ふち]]	4
135100	威	女	9	[イ]	[]	4
3648500	慎	忄	13	[シン]	[[つつし,む]]	4
3251100	盾	目	9	[ジュン]	[[たて]]	4
2979200	斜	斗	11	[シャ]	[[なな,め]]	4
2432400	婚	女	11	[コン]	[]	4
1933600	堅	土	12	[ケン]	[[かた,い]]	4
1556400	驚	馬	22	[キョウ]	[[おどろ,く],[おどろ,かす]]	4
1348700	却	卩	7	[キャク]	[]	4
1023100	汗	氵	6	[カン]	[[あせ]]	4
498600	汚	氵	6	[オ]	[[けが,す],[けが,れる],[けが,らわしい],[よご,す],[よご,れる],[きたな,い]]	4
138600	為	灬	9	[イ]	[]	4
3664600	震	雨	15	[シン]	[[ふる,う],[ふる,える]]	4
3348400	召	口	5	[ショウ]	[[め,す]]	4
2983500	煮	灬	12	[シャ]	[[に,る],[に,える],[に,やす]]	4
2479700	鎖	金	18	[サ]	[[くさり]]	4
1952400	遣	辶	13	[ケン]	[[つか,う],[つか,わす]]	4
1559500	仰	亻	6	[ギョウ,コウ]	[[あお,ぐ],[おお,せ]]	4
1352200	脚	月	11	[キャク,キャ]	[[あし]]	4
1056200	乾	乙	11	[カン]	[[かわ,く],[かわ,かす]]	4
515400	押	扌	8	[オウ]	[[お,す],[お,さえる]]	4
157800	偉	亻	12	[イ]	[[えら,い]]	4
3667000	薪	艹	16	[シン]	[[たきぎ]]	4
3352700	床	广	7	[ショウ]	[[とこ],[ゆか]]	4
3008600	釈	釆	11	[シャク]	[]	4
2506300	彩	彡	11	[サイ]	[[いろど,る]]	4
1987900	玄	玄	5	[ゲン]	[]	4
1668200	駆	馬	14	[ク]	[[か,ける],[か,る]]	4
1365500	及	又	3	[キュウ]	[[およ,ぶ],[およ,び],[およ,ぼす]]	4
1091300	勧	力	13	[カン]	[[すす,める]]	4
526500	奥	大	12	[オウ]	[[おく]]	4
169400	違	辶	13	[イ]	[[ちが,う],[ちが,える]]	4
3697400	尽	尸	6	[ジン]	[[つ,くす],[つ,きる],[つ,かす]]	4
3367600	沼	氵	8	[ショウ]	[[ぬま]]	4
3021200	寂	宀	11	[ジャク,セキ]	[[さび],[さび,しい],[さび,れる]]	4
2534000	歳	止	13	[サイ,セイ]	[]	4
2048800	枯	木	9	[コ]	[[か,れる],[か,らす]]	4
1702900	屈	尸	8	[クツ]	[]	4
1369600	丘	一	5	[キュウ]	[[おか]]	4
1112300	歓	欠	15	[カン]	[]	4
556600	憶	忄	16	[オク]	[]	4
171200	維	糸	14	[イ]	[]	4
3704400	陣	阝	10	[ジン]	[]	4
